Match#,TeamA,TeamB,Status,TeamA-Result,TeamB-Result
1,Qatar,Ecuador,20-Nov-22,,
2,Senegal,Netherlands,21-Nov-22,,
3,England,Iran,21-Nov-22,,
4,United States,Wales,21-Nov-22,,
5,Argentina,Saudi Arabia,22-Nov-22,,
6,Mexico,Poland,22-Nov-22,,
7,Denmark,Tunisia,22-Nov-22,,
8,France,Australia,22-Nov-22,,
9,Germany,Japan,23-Nov-22,,
10,Spain,Costa Rica,23-Nov-22,,
11,Morocco,Croatia,23-Nov-22,,
12,Belgium,Canada,23-Nov-22,,
13,Switzerland,Cameroon,24-Nov-22,,
14,Brazil,Serbia,24-Nov-22,,
15,Uruguay,South Korea,24-Nov-22,,
16,Portugal,Ghana,24-Nov-22,,
17,Qatar,Senegal,25-Nov-22,,
18,Netherlands,Ecuador,25-Nov-22,,
19,Wales,Iran,25-Nov-22,,
20,England,United States,25-Nov-22,,
21,Poland,Saudi Arabia,26-Nov-22,,
22,Argentina,Mexico,26-Nov-22,,
23,Tunisia,Australia,26-Nov-22,,
24,France,Denmark,26-Nov-22,,
25,Japan,Costa Rica,27-Nov-22,,
26,Spain,Germany,27-Nov-22,,
27,Belgium,Morocco,27-Nov-22,,
28,Croatia,Canada,27-Nov-22,,
29,Cameroon,Serbia,28-Nov-22,,
30,Brazil,Switzerland,28-Nov-22,,
31,South Korea,Ghana,28-Nov-22,,
32,Portugal,Uruguay,28-Nov-22,,
33,Netherlands,Qatar,29-Nov-22,,
34,Ecuador,Senegal,29-Nov-22,,
35,Wales,England,29-Nov-22,,
36,Iran,United States,29-Nov-22,,
37,Poland,Argentina,30-Nov-22,,
38,Saudi Arabia,Mexico,30-Nov-22,,
39,Tunisia,France,30-Nov-22,,
40,Australia,Denmark,30-Nov-22,,
41,Japan,Spain,1-Dec-22,,
42,Costa Rica,Germany,1-Dec-22,,
43,Croatia,Belgium,1-Dec-22,,
44,Canada,Morocco,1-Dec-22,,
45,Cameroon,Brazil,2-Dec-22,,
46,Serbia,Switzerland,2-Dec-22,,
47,South Korea,Portugal,2-Dec-22,,
48,Ghana,Uruguay,2-Dec-22,,
49,TBD,TBD,3-Dec-22,,
50,TBD,TBD,3-Dec-22,,
51,TBD,TBD,4-Dec-22,,
52,TBD,TBD,4-Dec-22,,
53,TBD,TBD,5-Dec-22,,
54,TBD,TBD,5-Dec-22,,
55,TBD,TBD,6-Dec-22,,
56,TBD,TBD,6-Dec-22,,
57,TBD,TBD,9-Dec-22,,
58,TBD,TBD,9-Dec-22,,
59,TBD,TBD,10-Dec-22,,
60,TBD,TBD,10-Dec-22,,
61,TBD,TBD,13-Dec-22,,
62,TBD,TBD,14-Dec-22,,
63,TBD,TBD,17-Dec-22,,
64,TBD,TBD,18-Dec-22,,
